Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,2,Mergarejo Hernandez Osniel Lazaro,-,OH,8,7,0,1,-,3.12,7,1,8,16,37.5,0,0,1,1,0,1,6,8,15,-33.33,2,0,9,11,18.18,5,0,5,100,0,0,4,4,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,3,Cardenas Morales Julio Cesar,-,OH,0,0,0,0,-,-33.33,0,0,0,0,-,0,0,0,0,-,0,1,2,3,-33.33,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,4,Sanchez Bozhuleva Michael,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,5,Concepcion Rojas Javier Octavio,-,MB,9,6,1,2,-,36.84,6,0,4,10,60,1,0,1,2,50,2,2,3,7,0,0,0,0,0,-,1,0,1,100,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,7,Garcia Alvarez Yonder Roman,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,5,3,8,16,12.5,10,0,10,100,0,0,2,2,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,10,Gutierrez Suarez Miguel David,-,O,0,0,0,0,-,-50,0,0,0,0,-,0,0,0,0,-,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,11,Taboada Diaz Lyvan,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,12,Herrera Jaime Jesus,-,O,16,10,2,4,-,21.62,10,3,8,21,33.33,2,0,1,3,66.67,4,5,4,13,-7.69,0,1,0,1,-100,2,0,2,100,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,14,Goide Arredondo Adrian Eduardo,-,S,1,1,0,0,-,-15.38,1,0,1,2,50,0,0,3,3,0,0,3,5,8,-37.5,0,1,0,1,-100,4,0,4,100,0,0,55,55,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,17,Alonso Arce Roamy Raul,-,L,6,4,1,1,-,9.52,4,2,2,8,25,1,1,2,4,0,1,1,7,9,0,0,0,0,0,-,2,0,2,100,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,18,Lopez Castro Miguel Angel,C,OH,13,8,2,3,-,25.81,8,2,1,11,54.55,2,0,1,3,66.67,3,3,11,17,0,4,1,10,15,20,3,0,4,75,0,0,3,3,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,23,Yant Herrera Marlon,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,2,Mergarejo Hernandez Osniel Lazaro,-,OH,5,4,0,1,-,25,4,0,3,7,57.14,0,0,0,0,-,1,2,2,5,-20,1,0,4,5,20,3,0,3,100,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,3,Cardenas Morales Julio Cesar,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,4,Sanchez Bozhuleva Michael,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,5,Concepcion Rojas Javier Octavio,-,MB,3,3,0,0,-,37.5,3,0,3,6,50,0,0,1,1,0,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,7,Garcia Alvarez Yonder Roman,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,4,7,14.29,2,0,2,100,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,10,Gutierrez Suarez Miguel David,-,O,0,0,0,0,-,-50,0,0,0,0,-,0,0,0,0,-,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,11,Taboada Diaz Lyvan,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,12,Herrera Jaime Jesus,-,O,7,3,1,3,-,28.57,3,1,2,6,33.33,1,0,1,2,50,3,2,1,6,16.67,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,14,Goide Arredondo Adrian Eduardo,-,S,0,0,0,0,-,-33.33,0,0,0,0,-,0,0,0,0,-,0,1,2,3,-33.33,0,0,0,0,-,1,0,1,100,0,0,21,21,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,17,Alonso Arce Roamy Raul,-,L,1,0,0,1,-,-16.67,0,1,0,1,-100,0,1,0,1,-100,1,0,3,4,25,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,18,Lopez Castro Miguel Angel,C,OH,4,3,1,0,-,22.22,3,1,1,5,40,1,0,0,1,100,0,1,2,3,-33.33,1,0,3,4,25,1,0,1,100,0,0,1,1,0
2022,Men,4,2022/7/28,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,23,Yant Herrera Marlon,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
