Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,ALL,-,-,71,59,7,5,-,59,19,47,125,7,1,18,26,5,16,83,104,18,6,65,89,44,1,51,0,1,118,119
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,1,-,-,15,13,1,1,-,13,2,5,20,1,0,1,2,1,6,18,25,3,0,13,16,5,1,9,0,0,20,20
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,2,-,-,15,13,2,0,-,13,4,12,29,2,0,4,6,0,3,20,23,7,1,11,19,11,0,13,0,1,25,26
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,3,-,-,11,8,3,0,-,8,6,12,26,3,0,9,12,0,3,16,19,4,3,14,21,10,0,10,0,0,24,24
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,4,-,-,20,16,1,3,-,16,5,9,30,1,1,3,5,3,3,18,24,3,1,16,20,10,0,10,0,0,28,28
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Australia,Korea,2,3,25,23,18,25,13,23,25,25,22,15,5,-,-,10,9,0,1,-,9,2,9,20,0,0,1,1,1,1,11,13,1,1,11,13,8,0,9,0,0,21,21
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL,-,-,81,66,9,6,-,66,17,48,131,9,2,14,25,6,21,83,110,15,5,68,88,52,0,54,0,0,133,133
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,1,-,-,15,14,1,0,-,14,4,7,25,1,0,1,2,0,7,16,23,7,1,11,19,8,0,8,0,0,25,25
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,2,-,-,19,16,2,1,-,16,4,15,35,2,0,1,3,1,6,18,25,3,0,17,20,16,0,17,0,0,36,36
2022,Men,1,2022/7/28,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,3,-,-,19,13,3,3,-,13,6,13,32,3,1,3,7,3,3,18,24,3,0,13,16,15,0,15,0,0,33,33
