Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,1,Chargui Achref,-,OH,0,0,0,0,-,-25,0,0,0,0,-,0,0,0,0,-,0,1,3,4,-25,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,2,Kadhi Ahmed,-,MB,8,5,3,0,-,6.67,5,2,0,7,42.86,3,4,4,11,-9.09,0,0,12,12,0,1,0,1,2,50,0,2,2,-100,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,3,Ben Slimene Khaled,C,S,3,2,1,0,-,-4.55,2,0,0,2,100,1,3,4,8,-25,0,1,11,12,-8.33,0,0,0,0,-,9,1,11,72.73,16,0,73,89,17.98
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,4,Korbosli Taieb,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,5,1,6,66.67,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,6,Ben Othmen Mohamed Ali,-,OH,6,5,1,0,-,14.29,5,1,12,18,22.22,1,1,1,3,0,0,0,7,7,0,1,1,7,9,0,3,2,5,20,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,7,Karamosli Elyes,-,OH,4,4,0,0,-,40,4,0,5,9,44.44,0,0,0,0,-,0,0,1,1,0,0,0,1,1,0,1,0,1,100,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,8,Ben Romdhane Oussama,-,OH,12,11,0,1,-,14.29,11,1,13,25,40,0,5,1,6,-83.33,1,0,10,11,9.09,6,3,10,19,15.79,5,2,9,33.33,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,9,Agrebi Omar,-,MB,5,5,0,0,-,0,5,0,4,9,55.56,0,5,5,10,-50,0,0,7,7,0,0,0,2,2,0,1,2,3,-33.33,0,0,2,2,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,10,Nagga Hamza,-,O,6,6,0,0,-,16.67,6,1,7,14,35.71,0,1,2,3,-33.33,0,0,7,7,0,0,0,5,5,0,6,1,7,71.43,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,12,Mrabet Marouane,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,13,Mbareki Selim,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,18,Bongui Ali,-,O,6,4,2,0,-,0,4,5,8,17,-5.88,2,1,1,4,25,0,0,4,4,0,0,0,0,0,-,0,1,2,-50,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,19,Bouguerra Aymen,-,OH,1,1,0,0,-,-23.08,1,2,5,8,-12.5,0,2,1,3,-66.67,0,0,2,2,0,1,0,5,6,16.67,0,1,2,-50,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL SETS,20,Hmissi Saddem,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,0,18,22,18.18,6,1,7,71.43,0,0,9,9,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,1,Chargui Achref,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,2,Kadhi Ahmed,-,MB,3,2,1,0,-,25,2,0,0,2,100,1,1,0,2,0,0,0,4,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,3,Ben Slimene Khaled,C,S,2,1,1,0,-,25,1,0,0,1,100,1,0,2,3,33.33,0,0,4,4,0,0,0,0,0,-,1,0,1,100,5,0,25,30,16.67
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,4,Korbosli Taieb,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,6,Ben Othmen Mohamed Ali,-,OH,1,1,0,0,-,0,1,0,3,4,25,0,1,0,1,-100,0,0,3,3,0,0,1,3,4,-25,2,1,3,33.33,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,7,Karamosli Elyes,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,8,Ben Romdhane Oussama,-,OH,1,1,0,0,-,-12.5,1,1,3,5,0,0,1,0,1,-100,0,0,2,2,0,3,0,3,6,50,0,0,1,0,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,9,Agrebi Omar,-,MB,2,2,0,0,-,16.67,2,0,1,3,66.67,0,1,0,1,-100,0,0,2,2,0,0,0,1,1,0,0,0,0,-,0,0,1,1,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,10,Nagga Hamza,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,12,Mrabet Marouane,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,13,Mbareki Selim,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,18,Bongui Ali,-,O,3,2,1,0,-,0,2,3,5,10,-10,1,0,0,1,100,0,0,3,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,19,Bouguerra Aymen,-,OH,1,1,0,0,-,-23.08,1,2,5,8,-12.5,0,2,1,3,-66.67,0,0,2,2,0,1,0,5,6,16.67,0,1,2,-50,0,0,0,0,-
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,SET 1,20,Hmissi Saddem,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,0,3,5,40,4,0,4,100,0,0,1,1,0
