Season,M/W,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,2,Jiang C. ,C,O,2,2,0,0,-,-20,2,1,2,5,20,0,2,1,3,-66.67,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,3,Wang H.B. ,-,S,2,0,1,1,-,-4.55,0,0,0,0,-,1,2,3,6,-16.67,1,1,14,16,0,0,0,0,0,-,7,2,9,55.56,17,1,50,68,23.53
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,4,Li L. ,-,OH,4,2,1,1,-,8.33,2,3,1,6,-16.67,1,0,1,2,50,1,0,3,4,25,0,1,6,7,-14.29,3,1,4,50,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,6,Yu Y.T. ,-,OH,2,2,0,0,-,0,2,0,3,5,40,0,1,1,2,-50,0,1,2,3,-33.33,2,0,1,3,66.67,1,0,1,100,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,8,Wang D.C. ,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,9,Li Y.Z. ,-,MB,4,2,2,0,-,-6.25,2,0,4,6,33.33,2,4,11,17,-11.76,0,2,7,9,-22.22,1,0,0,1,100,2,1,3,33.33,0,0,2,2,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,10,Yang T.Y. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,14,Zhai D.J. ,-,OH,2,2,0,0,-,-10,2,2,2,6,0,0,1,1,2,-50,0,0,2,2,0,4,0,2,6,66.67,1,0,1,100,0,1,0,1,-100
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,15,Peng S.K. ,-,MB,7,4,0,3,-,12,4,1,2,7,42.86,0,3,2,5,-60,3,0,10,13,23.08,0,0,0,0,-,2,1,3,33.33,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,16,Qu Z.S. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,1,16,21,14.29,4,3,8,12.5,0,0,7,7,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,17,Wang J.Y. ,-,O,13,9,2,2,-,25.81,9,2,4,15,46.67,2,2,3,7,0,2,1,6,9,11.11,0,0,0,0,-,6,1,8,62.5,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,20,Rao S.H. ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,22,Zhang J.Y. ,-,OH,19,17,1,1,-,25.53,17,3,9,29,48.28,1,1,2,4,0,1,3,10,14,-14.29,1,1,10,12,0,2,2,5,0,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,30,Mao T.Y. ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,2,Jiang C. ,C,O,2,2,0,0,-,-20,2,1,2,5,20,0,2,1,3,-66.67,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,3,Wang H.B. ,-,S,1,0,1,0,-,0,0,0,0,0,-,1,0,2,3,33.33,0,1,3,4,-25,0,0,0,0,-,3,1,4,50,7,1,18,26,23.08
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,4,Li L. ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,6,Yu Y.T. ,-,OH,0,0,0,0,-,-100,0,0,0,0,-,0,1,0,1,-100,0,1,0,1,-100,2,0,0,2,100,0,0,0,-,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,8,Wang D.C. ,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,9,Li Y.Z. ,-,MB,0,0,0,0,-,-33.33,0,0,0,0,-,0,2,2,4,-50,0,0,2,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,10,Yang T.Y. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,14,Zhai D.J. ,-,OH,2,2,0,0,-,-10,2,2,2,6,0,0,1,1,2,-50,0,0,2,2,0,4,0,2,6,66.67,1,0,1,100,0,1,0,1,-100
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,15,Peng S.K. ,-,MB,4,2,0,2,-,40,2,0,1,3,66.67,0,0,2,2,0,2,0,3,5,40,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,16,Qu Z.S. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,0,4,6,33.33,2,1,4,25,0,0,3,3,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,17,Wang J.Y. ,-,O,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,3,3,0,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,20,Rao S.H. ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,22,Zhang J.Y. ,-,OH,10,10,0,0,-,42.11,10,1,3,14,64.29,0,0,1,1,0,0,1,3,4,-25,0,0,5,5,0,1,0,2,50,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,30,Mao T.Y. ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,2,Jiang C. ,C,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,3,Wang H.B. ,-,S,1,0,0,1,-,0,0,0,0,0,-,0,1,1,2,-50,1,0,5,6,16.67,0,0,0,0,-,2,1,3,33.33,1,0,15,16,6.25
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,4,Li L. ,-,OH,1,1,0,0,-,25,1,0,1,2,50,0,0,0,0,-,0,0,2,2,0,0,1,2,3,-33.33,1,1,2,0,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,6,Yu Y.T. ,-,OH,2,2,0,0,-,33.33,2,0,3,5,40,0,0,1,1,0,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,8,Wang D.C. ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,9,Li Y.Z. ,-,MB,3,2,1,0,-,14.29,2,0,1,3,66.67,1,0,5,6,16.67,0,1,4,5,-20,0,0,0,0,-,1,1,2,0,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,10,Yang T.Y. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,14,Zhai D.J. ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,15,Peng S.K. ,-,MB,1,1,0,0,-,0,1,0,0,1,100,0,1,0,1,-100,0,0,4,4,0,0,0,0,0,-,1,1,2,0,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,16,Qu Z.S. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,4,5,20,1,1,2,0,0,0,3,3,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,17,Wang J.Y. ,-,O,5,4,1,0,-,18.18,4,1,1,6,50,1,2,0,3,-33.33,0,0,2,2,0,0,0,0,0,-,1,0,2,50,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,20,Rao S.H. ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,22,Zhang J.Y. ,-,OH,3,2,0,1,-,9.09,2,1,1,4,25,0,0,1,1,0,1,1,4,6,0,1,1,1,3,0,0,1,1,-100,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,30,Mao T.Y. ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,2,Jiang C. ,C,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,3,Wang H.B. ,-,S,0,0,0,0,-,-14.29,0,0,0,0,-,0,1,0,1,-100,0,0,6,6,0,0,0,0,0,-,2,0,2,100,9,0,17,26,34.62
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,4,Li L. ,-,OH,3,1,1,1,-,0,1,3,0,4,-50,1,0,1,2,50,1,0,1,2,50,0,0,4,4,0,2,0,2,100,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,6,Yu Y.T. ,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,1,1,0,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,8,Wang D.C. ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,9,Li Y.Z. ,-,MB,1,0,1,0,-,-16.67,0,0,3,3,0,1,2,4,7,-14.29,0,1,1,2,-50,1,0,0,1,100,1,0,1,100,0,0,2,2,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,10,Yang T.Y. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,14,Zhai D.J. ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,15,Peng S.K. ,-,MB,2,1,0,1,-,-11.11,1,1,1,3,0,0,2,0,2,-100,1,0,3,4,25,0,0,0,0,-,0,0,0,-,0,0,0,0,-
