Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,ALL,29/63 (46%),35/53 (66%),55,40,7,8,-,40,12,27,79,7,16,25,48,8,9,56,73,12,3,35,50,28,11,42,17,2,61,80
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,1,5/13 (38%),9/13 (69%),19,16,1,2,-,16,4,8,28,1,6,9,16,2,4,18,24,8,0,11,19,9,2,13,7,2,22,31
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,2,13/25 (52%),12/17 (71%),16,12,2,2,-,12,2,7,21,2,4,8,14,2,2,21,25,2,2,7,11,8,6,15,1,0,18,19
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,11/25 (44%),14/23 (61%),20,12,4,4,-,12,6,12,30,4,6,8,18,4,3,17,24,2,1,17,20,11,3,14,9,0,21,30
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,18/53 (34%),34/63 (54%),45,36,6,3,-,36,11,41,88,6,6,16,28,3,15,47,65,10,8,46,64,23,18,45,8,1,79,88
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,4/13 (31%),8/13 (62%),17,13,4,0,-,13,2,14,29,4,1,5,10,0,5,19,24,6,2,12,20,7,8,16,3,0,25,28
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,2,5/17 (29%),12/25 (48%),13,11,0,2,-,11,4,15,30,0,2,5,7,2,6,9,17,3,2,18,23,6,4,11,4,1,25,30
2024,Men,1,2024/7/4,Quarter_Finals,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,3,9/23 (39%),14/25 (56%),15,12,2,1,-,12,5,12,29,2,3,6,11,1,4,19,24,1,4,16,21,10,6,18,1,0,29,30
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Belgium,Croatia,3,2,25,25,22,15,15,20,18,25,25,13,ALL,33/100 (33%),68/101 (67%),73,58,8,7,-,58,21,40,119,8,17,19,44,7,19,76,102,20,6,58,84,34,20,58,16,2,102,120
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Belgium,Croatia,3,2,25,25,22,15,15,20,18,25,25,13,1,8/24 (33%),17/20 (85%),18,15,2,1,-,15,3,8,26,2,2,4,8,1,6,17,24,6,0,10,16,6,6,12,7,0,18,25
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Belgium,Croatia,3,2,25,25,22,15,15,20,18,25,25,13,2,12/24 (50%),12/18 (67%),15,12,1,2,-,12,5,2,19,1,4,1,6,2,3,20,25,3,0,10,13,7,3,12,2,1,18,21
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Belgium,Croatia,3,2,25,25,22,15,15,20,18,25,25,13,3,4/23 (17%),18/24 (75%),15,13,1,1,-,13,3,11,27,1,3,6,10,1,5,16,22,4,1,14,19,8,7,16,5,0,22,27
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Belgium,Croatia,3,2,25,25,22,15,15,20,18,25,25,13,4,3/15 (20%),12/25 (48%),12,9,2,1,-,9,6,10,25,2,5,3,10,1,3,12,16,5,5,13,23,4,3,8,2,0,23,25
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Belgium,Croatia,3,2,25,25,22,15,15,20,18,25,25,13,5,6/14 (43%),9/14 (64%),13,9,2,2,-,9,4,9,22,2,3,5,10,2,2,11,15,2,0,11,13,9,1,10,0,1,21,22
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Croatia,Belgium,2,3,20,18,25,25,13,25,25,22,15,15,ALL,33/101 (33%),67/100 (67%),74,53,15,6,-,53,17,40,110,15,28,20,63,6,18,78,102,14,7,62,83,30,14,48,21,1,90,112
