Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,ALL SETS,53,36,6,11,,-1.8,36,8,24,68,260.38,6,1,9,16,183.34,11,22,41,74,-161.85,11,6,27,44,-149.32,27,0,28,675,0,0,65,65,0
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 1,20,13,2,5,,13.29,13,3,9,25,80.47,2,1,2,5,50,5,7,13,25,-94.99,4,1,11,16,59.29,8,0,8,500,0,0,24,24,0
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 2,18,10,3,5,,100.76,10,3,6,19,66.43,3,0,3,6,250,5,6,13,24,-38.89,4,4,7,15,-155,8,0,8,500,0,0,19,19,0
2022,Men,4,44770,Quarter_Finals,Seoul,Korea,Cuba,Chile,3,0,25,25,25,-,-,20,19,19,-,-,SET 3,15,13,1,1,,-40.78,13,2,9,24,341.67,1,0,4,5,100,1,9,15,25,-283.33,3,1,9,13,36.67,11,0,12,650,0,0,22,22,0
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,ALL SETS,81,66,9,6,,90.01,66,17,48,131,132.74,9,2,14,25,55.36,6,21,83,110,-103.53,15,5,68,88,64.61,52,0,54,880.36,0,0,133,133,0
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 1,15,14,1,0,,-99.23,14,4,7,25,-1.67,1,0,1,2,100,0,7,16,23,-273.33,7,1,11,19,152.27,8,0,8,400,0,0,25,25,0
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 2,19,16,2,1,,73.33,16,4,15,35,116.66,2,0,1,3,150,1,6,18,25,-108.34,3,0,17,20,76.67,16,0,17,685.71,0,0,36,36,0
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 3,19,13,3,3,,42.22,13,6,13,32,168.71,3,1,3,7,133.33,3,3,18,24,-5,3,0,13,16,78.33,15,0,15,700,0,0,33,33,0
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 4,14,12,1,1,,96.59,12,2,10,24,236.9,1,1,2,4,-66.67,1,3,19,23,-39.29,2,3,16,21,-11.11,7,0,8,550,0,0,24,24,0
2022,Men,1,44770,Quarter_Finals,Seoul,Korea,Korea,Australia,3,2,23,25,25,22,15,25,23,18,25,13,SET 5,14,11,2,1,,157.62,11,1,3,15,233.34,2,0,7,9,75,1,2,12,15,-50,0,1,11,12,-100,6,0,6,500,0,0,15,15,0
